ahe,hinunter
aher,hinunter
allig,immer
andre,andere
bds,beidseitig
bede,beide
bede,beide
blaua,blauer
bsetzt,besetzt
din,drinnen
dina,drinnen
dinna,drinnen
drizehn,dreizehn
drizehne,dreizehn
drü,drei
drüü,drei
eappas,etwas
eppas,etwas
füf,fünf
füfe,fünf
gad,gerade
graua,grauer
grüana,grüner
gspeert,gesperrt
ihne,hinein
inne,hinein
irgat,irgendeine
isch,ist
iwärts,einwärts
klena,kleiner
klene,kleine
klenna,kleiner
klenne,kleine
mobieles,mobiles
mobielesradargerät,mobiles Radargerät
mobilerblitzer,mobiler Blitzer
ned,nicht
net,nicht
netta,nicht
nöd,nicht
noham,Nach dem
nüm,nicht mehr
nüne,neun
o,auch
o,auch
oan,einen
oana,einer
oaner,einer
reachts,rechts
rechta,rechten
rota,roter
schwarza,schwarzer
se,sie
sechse,sechs
siebne,sieben
stadtiwärts,stadteinwärts
stadtuswärts,stadtauswärts
uf,auf
uffe,hinauf
uffi,hinauf
umma,herum
ungf.,ungefähr
usa,heraus
ussa,heraus
usse,hinaus
ussi,hinaus
uswärtig,auswärtig
uswärts,auswärts
viere,vier
vrschteckt,versteckt
vrsteckt,versteckt
widr,wieder
z,in
zehne,zehn
zemm,zusammen
zemma,zusammen
zivieler,ziviler
zruck,zurück
zua,zu
zwoa,zwei
zwölfe,zwölf
ghörig,ordentlich
hintre,nach hinten
ggü.,gegenüber
mobils,mobiles
iisig,vereist
isig,vereist
bedsietig,beidseitig
durchsuacht,durchsucht
dinn,drinnen
1wagen,ein Wagen
vo,von
aufm,auf dem
wos,wo es
jz,jetzt
jtzt,jetzt
jzt,jetzt
Abschtand,Abstandsmessung
abstandsmessig,Abstandsmessung
Afang,Anfang
Apothek,Apotheke
autobahnuffahrt,Autobahnauffahrt
bahhof,Bahnhof
beschleunigungsstreifa,Beschleunigungsstreifen
bhf,Bahnhof
blauliacht,Blaulicht
blitzr,Blitzer
böxle,Box
büse,Busse
büssle,Bus
dianscht,Dienst
fa.,Firma
fahrtrichtig,Fahrtrichtung
Fuaßgänger,Fußgänger
führwehr,Feuerwehr
führwehrhus,Feuerwehrhaus
gaschthus,Gasthaus
gh,Gasthaus
grenz,Grenze
grenzn,Grenze
halla,Halle
ireise,Einreise
karra,Karra
kaschta,Kasten
kaserna,Kaserne
kasta,Kasten
kontrolla,Kontrolle
kreisvrkehr,Kreisverkehr
krüzig,Kreuzung
lada,Laden
leitplanka,Leitplanke
leitschiana,Leitschiene
lüt,Leute
maa,Mann
mci,McDonalds
Mecedes,Mercedes
olympiahalla,Olympiahalle
plana,Plane
polizista,Polizisten
poscht,Post
radarböxle,Radarböxchen
radarkaschta,Radarkasten
radarkasta,Radarkasten
richtunh,Richtung
schual,Schule
sieta,Seite
sita,Seite
spitol,Spital
streifa,Streifen
tanke,Tankstelle
tankstell,Tankstelle
tünnel,Tunnel
uffahrt,Auffahrt
zona,Zone
birkawiesa,Birkenwiese
kindergarta,Kindergarta
graba,Graben
isatz,Einsatz
polizeiisatz,Polizeieinsatz
rettig,Rettung
panna,Panne
baustell,Baustelle
bauschtell,Baustelle
cafdy,Caddy
riad,Ried
Huab,Hub
Strof,Strafe
Bestimmunga,Bestimmungen
Beschtimmunga,Bestimmungen
Einreisebestimmunga,Einreisebestimmungen
Einreisebeschtimmunga,Einreisebedingungen
krüz,Kreuz
AMS,A.M.S
kreutz,Kreuz
rotkreutz,Rotkreuz
Özoll,österreichischer Zoll
AT,Österreich
Bludaz,Bludenz
Breagaz,Bregenz
Bregaz,Bregenz
BZ,Bludenz
CH,Schweiz
db,Dornbirn
DE,Deutschland
DO,Dornbirn
dorabira,Dornbirn
fk,Feldkirch
FL,Liechtenstein
fraschtanz,Frastanz
gisinga,Gisingen
ibk,Innsbruck
klus,Klaus
kluus,Klaus
kriassera,Kriessern
kriassra,Kriessern
Luschnau,Lustenau
Luschnou,Lustenau
Luschtnau,Lustenau
Luschtnou,Lustenau
Lushnou,Lustenau
Lushnou,Lustenau
Meininga,Meininga
muntafu,Montafon
nenzig,Nenzing
nenzin,Nenzing
oberriat,Oberriet
rankl,Rankweil
schaawald,Schaanwald
schlis,Schlins
Schwizer,Schweizer
graubünda,Graubünden
schru,Schruns
schruu,Schuns
tschaggu,Tschagguns
bürsch,Bürs
partena,Partenen
bludaz,Bludenz
fuaßach,Fußach
fraxera,Fraxern
schellaberg,Schellenberg
muura,Mauren
montlinga,Montlingen
ruggel,Ruggell
östetteich,Österreich
langa,Langen
abgholt,abgeholt
aghoba,angehalten
aheba,anhalten
annegfahra,hingefahren
annegfara,hingefahren
bauan,bauen
beobachta,beobachten
blieban,bleiben
blieband,bleiben
blitza,blitzen
bstellt,bestellt
fahra,fahren
fahrand,fahren
fara,gefahren
gfahra,gefahren
gfara,fahren
goht,geht
grumt,geräumt
gschneallt,geknallt
hänga,hängen
hocka,sitzen
hockt,sitzt
hohlen,holen
hon,haben
hond,haben
honse,haben sie
innegschossa,hineingeschossen
innegschoßa,hineingeschossen
krüzan,kreuzen
nean,nehmen
rauß,raus
reglan,regeln
reua,reuen
schaua,schauen
schüßa,schießen
schüssa,schießen
send,sind die
stellan,stellen
stohn,stehen
stohnd,stehen
stohndse,stehen sie
stot,steht
stoht,steht
ston,stehen
stond,stehen
stonde,stehen sie
stondse,stehen sie
stot,steht
ufbaua,aufbauen
ufbua,aufbauen
uffefahra,hinauffahren
uffefara,hinauffahren
ufghalta,aufgehalten
ufghoba,aufgehalten
ufheba,aufhalten
ufpassa,aufpassen
ufstella,aufstellen
ussazüha,herausziehen
ussegschossa,hinausgeschossen
ussegschoßa,hineingeschossen
usseziaha,herausziehen
ussezoga,herausgezogen
uufbaua,aufbauen
warta,warten
woas,weiß
woass,weiß
würd,wird
züha,ziehen
zühan,ziehen
zühen,ziehen
zühn,ziehen
tuan,tuen
baua,bauen
schiaba,schieben
lot,lassen
kontrolliera,kontrollieren
durchsuacha,durchsuchen
bestimma,bestimmen
beschtimma,bestimmen
strofa,strafen
tuat,tut
langat,reicht
kontrollierand,kontrollieren
bruck,Brücke
apinnt,angepinnt
:)
;)
